strain	gene	time	value
spt6-AID2 DMSO	SSA4	0	0.0307333333
spt6-AID2 DMSO	HSP12	0	0.5388888889
spt6-AID2 DMSO	SSA4	15	2.2287630402
spt6-AID2 DMSO	HSP12	15	4.8807749627
spt6-AID2 DMSO	SSA4	80	0.0516072472
spt6-AID2 DMSO	HSP12	80	0.035447107
spt6-AID2 IAA	SSA4	0	0.101279911
spt6-AID2 IAA	HSP12	0	0.6349471341
spt6-AID2 IAA	SSA4	15	0.1845022624
spt6-AID2 IAA	HSP12	15	0.8294683258
spt6-AID2 IAA	SSA4	80	1.7185385656
spt6-AID2 IAA	HSP12	80	7.5778078484
spt6-AID2 DMSO	SSA4	0	0.2563694268
spt6-AID2 DMSO	HSP12	0	0.5520169851
spt6-AID2 DMSO	SSA4	15	0.8644444444
spt6-AID2 DMSO	HSP12	15	1.4111111111
spt6-AID2 DMSO	SSA4	80	0.4959633028
spt6-AID2 DMSO	HSP12	80	0.0775137615
spt6-AID2 IAA	SSA4	0	0.0382291667
spt6-AID2 IAA	HSP12	0	0.1447569444
spt6-AID2 IAA	SSA4	15	2.6959641256
spt6-AID2 IAA	HSP12	15	10.0448430493
spt6-AID2 IAA	SSA4	80	0.6692759295
spt6-AID2 IAA	HSP12	80	3.2064579256
spt6-AID2 DMSO	SSA4	0	0.0170590772
spt6-AID2 DMSO	HSP12	0	0.0464855541
spt6-AID2 DMSO	SSA4	15	1.0310655483
spt6-AID2 DMSO	HSP12	15	1.9123951538
spt6-AID2 DMSO	SSA4	80	0.3866930171
spt6-AID2 DMSO	HSP12	80	0.1769762846
spt6-AID2 IAA	SSA4	0	0.0311919831
spt6-AID2 IAA	HSP12	0	0.2328059072
spt6-AID2 IAA	SSA4	15	0.5024242424
spt6-AID2 IAA	HSP12	15	1.8203030303
spt6-AID2 IAA	SSA4	80	1.179389313
spt6-AID2 IAA	HSP12	80	4.8380588877
