Temperature	Time	Condition	Replicate	Antigen	Date and Time	Document	Source	Scale	Scale Units	Scale Factor	Count	Area	Perimeter	Circularity	Height	Width	Gray Value (Minimum)	Gray Value (Maximum)	Gray Value (Mean)	Gray Value (Median)	Integrated Density	Histogram
30	NA	untreated	1	Spt6	2018-08-17T19:59:33Z	Untitled-1	Selection	1 pixel(s) = 1.0000 pixels	pixels	1	1	250	70	0.641141	10	25	17	160	43.92	32	10980	Histogram-1.csv
30	0	DMSO	1	Spt6	2018-08-17T19:59:39Z	Untitled-1	Selection	1 pixel(s) = 1.0000 pixels	pixels	1	1	250	70	0.641141	10	25	17	204	52.936	38	13234	Histogram-2.csv
37	20	DMSO	1	Spt6	2018-08-17T19:59:47Z	Untitled-1	Selection	1 pixel(s) = 1.0000 pixels	pixels	1	1	250	70	0.641141	10	25	20	255	78.024	47	19506	Histogram-3.csv
37	80	DMSO	1	Spt6	2018-08-17T19:59:53Z	Untitled-1	Selection	1 pixel(s) = 1.0000 pixels	pixels	1	1	250	70	0.641141	10	25	18	255	67.252	38	16813	Histogram-4.csv
30	0	IAA	1	Spt6	2018-08-17T19:59:57Z	Untitled-1	Selection	1 pixel(s) = 1.0000 pixels	pixels	1	1	250	70	0.641141	10	25	18	77	32.212	28	8053	Histogram-5.csv
37	20	IAA	1	Spt6	2018-08-17T20:00:01Z	Untitled-1	Selection	1 pixel(s) = 1.0000 pixels	pixels	1	1	250	70	0.641141	10	25	18	68	29.064	25	7266	Histogram-6.csv
37	80	IAA	1	Spt6	2018-08-17T20:00:06Z	Untitled-1	Selection	1 pixel(s) = 1.0000 pixels	pixels	1	1	250	70	0.641141	10	25	16	105	34.348	25	8587	Histogram-7.csv
30	20	DMSO	1	Spt6	2018-08-17T20:00:12Z	Untitled-1	Selection	1 pixel(s) = 1.0000 pixels	pixels	1	1	250	70	0.641141	10	25	16	199	53.42	35	13355	Histogram-8.csv
30	80	DMSO	1	Spt6	2018-08-17T20:00:18Z	Untitled-1	Selection	1 pixel(s) = 1.0000 pixels	pixels	1	1	250	70	0.641141	10	25	15	231	60.96	35	15240	Histogram-9.csv
30	20	IAA	1	Spt6	2018-08-17T20:00:22Z	Untitled-1	Selection	1 pixel(s) = 1.0000 pixels	pixels	1	1	250	70	0.641141	10	25	14	61	24.52	21	6130	Histogram-10.csv
30	80	IAA	1	Spt6	2018-08-17T20:00:26Z	Untitled-1	Selection	1 pixel(s) = 1.0000 pixels	pixels	1	1	250	70	0.641141	10	25	14	35	18.236	17	4559	Histogram-11.csv
