species	name	gene	condition	replicate	value	chrom	strand	amplicon_start	amplicon_end	transcript_start	transcript_end	orf_start	orf_end
cerevisiae	neg	neg	WT-37C	1	0.0774	chrVIII	0	535129	535268	NA	NA	NA	NA
cerevisiae	neg	neg	WT-37C	2	0.0668	chrVIII	0	535129	535268	NA	NA	NA	NA
cerevisiae	neg	neg	WT-37C	3	0.0533	chrVIII	0	535129	535268	NA	NA	NA	NA
cerevisiae	neg	neg	spt6-1004-37C	1	0.149	chrVIII	0	535129	535268	NA	NA	NA	NA
cerevisiae	neg	neg	spt6-1004-37C	2	0.063	chrVIII	0	535129	535268	NA	NA	NA	NA
cerevisiae	neg	neg	spt6-1004-37C	3	0.0934	chrVIII	0	535129	535268	NA	NA	NA	NA
pombe	pma1+	pma1+	WT-37C	1	32.4	chrI	-	3876131	3876223	3871641	3876122	3871919	3874679
pombe	pma1+	pma1+	WT-37C	2	30.3	chrI	-	3876131	3876223	3871641	3876122	3871919	3874679
pombe	pma1+	pma1+	WT-37C	3	35.9	chrI	-	3876131	3876223	3871641	3876122	3871919	3874679
pombe	pma1+	pma1+	WT-37C	4	36.361	chrI	-	3876131	3876223	3871641	3876122	3871919	3874679
pombe	pma1+	pma1+	WT-37C	5	33.808	chrI	-	3876131	3876223	3871641	3876122	3871919	3874679
pombe	pma1+	pma1+	WT-37C	6	37.664	chrI	-	3876131	3876223	3871641	3876122	3871919	3874679
pombe	pma1+	pma1+	spt6-1004-37C	1	35.7	chrI	-	3876131	3876223	3871641	3876122	3871919	3874679
pombe	pma1+	pma1+	spt6-1004-37C	2	34	chrI	-	3876131	3876223	3871641	3876122	3871919	3874679
pombe	pma1+	pma1+	spt6-1004-37C	3	32.8	chrI	-	3876131	3876223	3871641	3876122	3871919	3874679
pombe	pma1+	pma1+	spt6-1004-37C	4	44.406	chrI	-	3876131	3876223	3871641	3876122	3871919	3874679
pombe	pma1+	pma1+	spt6-1004-37C	5	41.089	chrI	-	3876131	3876223	3871641	3876122	3871919	3874679
pombe	pma1+	pma1+	spt6-1004-37C	6	36.981	chrI	-	3876131	3876223	3871641	3876122	3871919	3874679
pombe	act1+	act1+	WT-37C	1	10.3	chrII	-	1477273	1477366	1475484	1477333	1476148	1477276
pombe	act1+	act1+	WT-37C	2	9.43	chrII	-	1477273	1477366	1475484	1477333	1476148	1477276
pombe	act1+	act1+	WT-37C	3	10.9	chrII	-	1477273	1477366	1475484	1477333	1476148	1477276
pombe	act1+	act1+	WT-37C	4	11.626	chrII	-	1477273	1477366	1475484	1477333	1476148	1477276
pombe	act1+	act1+	WT-37C	5	10.639	chrII	-	1477273	1477366	1475484	1477333	1476148	1477276
pombe	act1+	act1+	WT-37C	6	12.216	chrII	-	1477273	1477366	1475484	1477333	1476148	1477276
pombe	act1+	act1+	spt6-1004-37C	1	10.6	chrII	-	1477273	1477366	1475484	1477333	1476148	1477276
pombe	act1+	act1+	spt6-1004-37C	2	11.4	chrII	-	1477273	1477366	1475484	1477333	1476148	1477276
pombe	act1+	act1+	spt6-1004-37C	3	12.5	chrII	-	1477273	1477366	1475484	1477333	1476148	1477276
pombe	act1+	act1+	spt6-1004-37C	4	13.899	chrII	-	1477273	1477366	1475484	1477333	1476148	1477276
pombe	act1+	act1+	spt6-1004-37C	5	14.726	chrII	-	1477273	1477366	1475484	1477333	1476148	1477276
pombe	act1+	act1+	spt6-1004-37C	6	14.187	chrII	-	1477273	1477366	1475484	1477333	1476148	1477276
cerevisiae	vam6_pr	VAM6	WT-37C	1	0.418	chrIV	-	320357	320438	316970	320307	316970	320120
cerevisiae	vam6_pr	VAM6	WT-37C	2	0.429	chrIV	-	320357	320438	316970	320307	316970	320120
cerevisiae	vam6_pr	VAM6	WT-37C	3	0.304	chrIV	-	320357	320438	316970	320307	316970	320120
cerevisiae	vam6_pr	VAM6	spt6-1004-37C	1	0.327	chrIV	-	320357	320438	316970	320307	316970	320120
cerevisiae	vam6_pr	VAM6	spt6-1004-37C	2	0.158	chrIV	-	320357	320438	316970	320307	316970	320120
cerevisiae	vam6_pr	VAM6	spt6-1004-37C	3	0.299	chrIV	-	320357	320438	316970	320307	316970	320120
cerevisiae	vam6_ORF	VAM6	WT-37C	1	0.118	chrIV	-	319032	319132	316970	320307	316970	320120
cerevisiae	vam6_ORF	VAM6	WT-37C	2	0.104	chrIV	-	319032	319132	316970	320307	316970	320120
cerevisiae	vam6_ORF	VAM6	WT-37C	3	0.102	chrIV	-	319032	319132	316970	320307	316970	320120
cerevisiae	vam6_ORF	VAM6	spt6-1004-37C	1	1.72	chrIV	-	319032	319132	316970	320307	316970	320120
cerevisiae	vam6_ORF	VAM6	spt6-1004-37C	2	1.22	chrIV	-	319032	319132	316970	320307	316970	320120
cerevisiae	vam6_ORF	VAM6	spt6-1004-37C	3	2.25	chrIV	-	319032	319132	316970	320307	316970	320120
